Card Title,Card Images,Card Annual Fees,Card Purchase Interest Rate,Cash interest rate,Product Value Prop,Product Benefits, Name,Card Details
TD U.S. Dollar Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/browse-all/USDollar_VISA_MKT_RGB_L_EN_548x344.jpg,$39,19.99%,22.99%,Make purchases in U.S. Dollars without credit card foreign currency conversion fees,"Trip Interruption Insurance‘ Up to $5,000 of coverage per insured person, to a maximum of $25,000 for all insured persons on the same trip * Emergency Travel Assistance Services ‘ Help is just a call away. Toll-free access to help in the event of a personal emergency while travelling. * Common Carrier Travel Accident Insurance ‘ Up to $500,000 of coverage for covered losses while travelling on a common carrier (for example, a bus, ferry, plane, or train)",TD ,https://www.td.com/ca/en/personal-banking/products/credit-cards/us-dollar/us-dollar-visa-card
TD Business Travel Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/businesstravel-visa-mkt-en-1.jpeg,$149,19.99%,22.99%,"Earn a value of up to $1,1227, 17 in TD Rewards Points (that's up to 175,000 TD Rewards Points)7 with full Annual Fee Rebates in the first year for the Primary Cardholder and first two Additional Cardholders7. Conditions Apply. Account must be approved, open and in Good Standing. Offer effective as of January 7, 2025.","Amazon.ca Shop with Points: Redeem your TD Rewards Points towards making business purchases at Amazon.ca to get what you want, when you want, quickly and easily. Conditions apply. Learn more about how you can redeem your points for all or just part of your purchase. * Emergency Travel Assistance Services14: Help is just a call away. Toll-free access to help in the event of a personal emergency while travelling.",TD ,https://www.td.com/ca/en/business-banking/small-business/credit-cards/business-travel-visa-card
TD® Aeroplan® Visa* Business Card,https://www.td.com/content/dam/tdct/images/business-banking/aeroplan-business-visa-card-comp39-en.jpeg,$149,14.99%,22.99%,"Earn up to 60,000 Aeroplan points2 with the TD® Aeroplan® Visa* Business Card2. Conditions Apply. Account must be approved, open and in Good Standing. Offer effective as of January 7, 2025.",Auto Rental Collision/Loss Damage Insurance: Coverage for up to 48 consecutive days. * Flight/Trip Delay Insurance: Up to $500 in coverage per insured person if your flight/trip is delayed for over 4 hours. * Emergency Travel Assistance Services: Help is just a call away. Toll-free access to help in the event of a personal emergency while travelling.,TD ,https://www.td.com/ca/en/business-banking/small-business/credit-cards/aeroplan-visa-business-card
TD Business Cash Back Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/bcb-en.jpeg,$0,19.99%,22.99%,Invest back into your business with Cash Back Dollars.,"Save with Avis Rent A Car and Budget Rent A Car. Use your TD Credit Card to save a minimum of 10% of the lowest available base rates8,9 in Canada and the U.S., and a minimum of 5% of the lowest available base rates8,9 internationally, on qualifying car rentals at participating Avis and Budget locations. * Visa SavingsEdge Program: Discounts of up to 25% off for business purchases made under the Visa SavingsEdge Program7 * Optional TD Auto Club Membership13",TD ,https://www.td.com/ca/en/business-banking/small-business/credit-cards/business-cash-back-visa-card
TD Business Select RateTM Visa* Card,https://www.td.com/content/dam/tdct/images/personal-banking/bsr-en.jpeg,$0,11.99%,11.99%,Save on interest to grow your business with confidence,Auto Rental Collision/Loss Damage Insurance coverage for up to 48 consecutive days * Optional TD Auto Club Membership * Access to optional Travel Medical Insurance8 and Trip Cancellation and Trip Interruption Insurance,TD ,https://www.td.com/ca/en/business-banking/small-business/credit-cards/business-select-rate-visa-card
RBC Avion Visa Infinite,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/iav_infiniteavion_en_sm@2x.png,$120,20.99%,22.99%,"A minimum personal income of $60,000 or a minimum household income of $100,000 is required for this card. Please note that this premium card can impose higher card acceptance costs on merchants.","Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite.html?_gl=1*8g5mmb*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC ION+ Visa,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/rbc-avion-rewards-ion-plus_en_sm@2x.png,$48,20.99%,22.99%,N/A,"Enjoy 14,000 Avion welcome points upon approval  thats a value of $100 in gift cards . Apply by May 7, 2025. * Earn 3X Avion points for every $1 spent on groceries, gas, dining, food delivery, rides, streaming, subscriptions, digital gaming and more.",RBC ,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-plus-visa.html?_gl=1*1v279q5*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
WestJet RBC World Elite Mastercard,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/mc4_wjwe_worldelite_en_sm@2x.png,$119,20.99%,22.995,"Get up to 450 WestJet dollars (a value of up to $450 off the base fare) when you spend a minimum of $5,000 in the first 3 months on your card, as well as an anniversary bonus1 * Receive a round-trip companion voucher “ every year “ for any WestJet destination starting from $1192 (plus taxes, fees, charges and other ATC) or choose to exchange it for 4 lounge vouchers","Reach higher with WestJet Rewards Status Lift. Now everyday purchases on the WestJet RBC World Elite Mastercard can bring you closer to achieving status with WestJet4",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-world-elite-mastercard.html?_gl=1*1v279q5*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC ION Visa,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/rbc-avion-rewards-ion_en_sm@2x.png,$0,20.99%,22.99%,"Get 7,000 Avion points upon approval^ - that™s $50 of value in gift cards ! Apply by May 7, 2025","Enjoy 7,000 Avion welcome points upon approval  thats a value of $50 in gift cards ! Apply by May 7, 2025 * Earn 1.5X Avion points for every $1 spent on groceries, rides, gas, streaming, subscriptions, digital gaming and more.",RBC ,https://www.rbcroyalbank.com/credit-cards/rewards/rbc-ion-visa.html?_gl=1*799ww*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
More Rewards RBC Visa,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/MR1_morerewards_en_sm@2x.png,$0,20.99%,22.99%,Earn 3 More Rewards points for every $1 you spend on every other purchase you make everywhere you shop.5,"Enjoy up to 50,000 More Rewards points. Thats a value of $75 in groceries! * Earn 5 More Rewards points for every $1 spent at over 700 partner locations like Save-On-Foods, Quality Foods, Buy-Low Foods, and more. * Earn 5 More Rewards points for every $1 you spend on gas, EV charging and dining.",RBC ,https://www.rbcroyalbank.com/credit-cards/rewards/more-rewards-rbc-visa.html?_gl=1*1ug03m6*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
moi RBC Visa,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/moi-rbc-visa_en_sm@2x.png,$0,20.99%,22.99%,"Get 3,500 bonus Moi points when you spend $2,000 in the first twelve months on your card1","Get up to 10,000 bonus Moi points (a value of $80) * Get 3,000 welcome Moi points upon your first purchase * Get 3,500 bonus Moi points when you spend $500 in the first three months on your card",RBC ,https://www.rbcroyalbank.com/credit-cards/rewards/moi-rbc-visa.html?_gl=1*1ug03m6*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
More Rewards RBC Visa Infinite,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/MR2_morerewardsinfinite_en_sm@2x.png,$0,20.99%,22.99%,Earn 4 More Rewards points for every $1 you spend on every other purchase you make everywhere you shop.,"Enjoy up to 50,000 More Rewards points. Thats a value of $75 in groceries! * Earn 8 More Rewards points for every $1 at over 700 partner locations like Save-On-Foods, Quality Foods, Buy-Low Foods, and more.* Earn 8 More Rewards points for every $1 you spend on gas, EV charging and dining.",RBC ,https://www.rbcroyalbank.com/credit-cards/rewards/more-rewards-rbc-visa-infinite.html?_gl=1*1ug03m6*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Cash Back Preferred World Elite Mastercard,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/mcp_cashbackpreferred_en_sm@2x.png,$0,20.99%,22.99%,Mastercard Airport Experiences provided by DragonPass,"Get 12% cash back on all purchases for the first 3 months up to $2,000 in total purchases. Thats up to $240 in cash back! * Unlimited cash back of up to 1.5% on all purchases thereafter * Premium Cash Back credit card benefits",RBC ,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-preferred-world-elite-mastercard-t.html?_gl=1*1vkgfou*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Cash Back Mastercard,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/mc1_cashbackmc_en_sm@2x.png,$0,20.99%,22.99%,"Thereafter, unlimited cash back & up to 2% cash back on groceries and up to 1% cash back on all other purchases1 * No annual fee * Purchase security and extended warranty protection","Get up to 7% cash back in the first 3 months on up to $1,000 in total purchases * 5% bonus cash back up to $1,000 spend for all purchases, plus * 2% cash back on groceries and 0.5% on all other purchases",RBC ,https://www.rbcroyalbank.com/credit-cards/cash-back/rbc-cashback-mastercard-t.html?_gl=1*1vkgfou*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Visa Classic Low Rate Option,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/clo_classiclowrate_en_sm@2x.png,$20,12.99%,12.99%,Purchase security and extended warranty insurance,Low interest rate on purchases and cash advances * Low annual fee,RBC ,https://www.rbcroyalbank.com/credit-cards/low-interest/rbc-visa-classic-low-rate.html?_gl=1*7uguhc*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Avion Visa Infinite Privilege,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/avp_infinite_en_sm@2x.png,$399,20.99%,22.99%,"Choose any airline, any flight, any time. There are no blackout dates or advance booking restrictions, even during peak periods. * Enjoy luxury travel benefits and exclusive privileges","Get up to 70,000 Avion points(travel value of up to $1,500 ). * 35,000 Avion Points on approval * 20,000 bonus points when you spend $5,000 in your first 6 months * 15,000 one-time anniversary bonus points",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/rbc-avion-visa-infinite-privilege.html?_gl=1*1wnma1f*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Avion Visa Platinum,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/gcp_platinumavion_en_sm@2x.png,$120,20.99%,22.99%,"One-way flights start as low as 7,500 Avion points!^","Get 35,000 Welcome Points on approval and 20,000 bonus points when you spend $5,000 in your first 6 months. Apply by June 3, 2025. * Choose any airline, any flight, any time. There are no blackout dates or advance booking restrictions, even during peak periods.",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/rbc-visa-platinum-avion.html?_gl=1*6up17x*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Visa Platinum,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/plt_platinum_en_sm@2x.png,$0,20.99%,22.99%,Emergency travel assistance,"No annual fee * Premium insurance coverage for your car, travel and eligible purchases",RBC ,https://www.rbcroyalbank.com/credit-cards/no-fee/rbc-visa-platinum.html?_gl=1*1xhht78*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC RateAdvantage Visa,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/vpr_rateadvantage_en_sm@2x.png,$0,8.99%,8.99%,Purchase Security and Extended Warranty insurance4,Low variable interest rate * No annual fee,RBC ,https://www.rbcroyalbank.com/credit-cards/low-interest/rbc-rateadvantage-visa.html?_gl=1*1xhht78*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC U.S. Dollar Visa Gold,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/gus_usgold_en_sm@2x.png,$65,20.99%,22.99%,Extensive insurance coverage including trip cancellation and 24/7 travel assistance,Make your transactions in U.S. funds and avoid daily currency fluctuations * Earn 1 Avion point for every U.S. dollar you spend,RBC ,https://www.rbcroyalbank.com/credit-cards/travel/rbc-us-dollar-visa-gold.html?_gl=1*60ifqi*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
WestJet RBC Mastercard,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/mc2_wj_westjet_en_sm@2x.png,$39,20.99%,22.99%,Earn WestJet dollars on your everyday purchases3,"Earn up to 100 WestJet dollars (with $1,000 spend in the first 3 months). * Get an annual round-trip companion voucher starting from $199 CAD (plus taxes, fees, charges and other ATC) for round-trip travel within Canada and to/from the continental U.S. (Excluding Hawaii).",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/westjet-rbc-mastercard.html?_gl=1*60ifqi*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC British Airways Visa Infinite,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/bap_ba_britishairways_en_sm@2x.png,$165,20.50%,22.99%,Earn 1 Avios for every $1 CAD you spend on all other qualifying purchases2 * Receive a Companion voucher3,"Receive up to 60,000 bonus Avios. * Earn 3 Avios for every $1 CAD you spend on British Airways purchases * Earn 2 Avios for every $1 CAD you spend on Dining",RBC ,https://www.rbcroyalbank.com/credit-cards/travel/rbc-british-airways-visa-infinite.html?_gl=1*60ifqi*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Avion Visa Infinite Business,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/aib_businessinfiniteavion_en_sm@2x.png,$175,19.99%,22.99%,"Get 35,000 Avion points2 * Earn 1.25 Avion points for every $1 spent in net purchases with your card, on up to $75,000 per year3",A suite of premium insurances even your cell phone is covered,RBC ,https://www.rbcroyalbank.com/business/credit-cards/small-business-credit-cards/avion-visa-infinite-business.html?_gl=1*1yn6yi1*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Avion Visa Business,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/cpx_businessplatinumavion_en_sm@2x.png,$120,19.99%,22.99%,No Annual Fee,"Get 35,000 Avion points * Earn  Avion point for every $1 spent in net purchases with your card",RBC ,https://www.rbcroyalbank.com/business/credit-cards/small-business-credit-cards/rbc-avion-visa-business.html?_gl=1*4tabyv*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
RBC Business Cash Back Mastercard,https://www.rbcroyalbank.com/credit-cards/_assets-custom/images/cards/mc6_business_cashback_mc_en_sm@2x.png,$0,19.99%,22.99%,,Earn 2% cash back on all your purchases* for the first three months * Earn 1% cash back* on all purchases thereafter,RBC ,https://www.rbcroyalbank.com/business/credit-cards/small-business-credit-cards/business-cash-back-mastercard.html?_gl=1*4tabyv*_up*MQ..&gclid=Cj0KCQjws-S-BhD2ARIsALssG0alIW6TIQU_Pggsr811qjNIeq07z90a74QtJpK6ORlsC2GB4LILs3caAiKdEALw_wcB
Scotiabank Passport® Visa Infinite* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/PassportVisaInfinite_V0421_MC_Eng.png,$150,20.99%,22.99%,"you have a minimum income of $60,000 per year, a minimum household income of $100,000, or a minimum of $250,000 assets under management.","Earn up to $1,300+ in value in the first 12 months, including up to 40,000 bonus Scene+ points. * Earn 3 Scene+ points1 on every $1 you spend at Sobeys, Safeway, IGA, Foodland & Participating Co-ops and more.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/passport-infinite-card.html
Scotia Momentum® Visa Infinite* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/MomentumVisaInfinite_MC_en.png,$120,20.99%,22.99%,"A flexible way to pay off your eligible Scotiabank Visa* credit card purchases of $100 or more, with low interest rates on your plan and no installment plan fee.§","Earn 10% cash back on all purchases for the first 3 months (up to $2,000 in total purchases). Plus, no annual fee in the first year, including on additional cards.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-infinite-card.html
Scotiabank Gold American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/AmexGold_GoldLogo_MC_En.png,$120,20.99%,22.99%,"You will not pay 2.5% foreign transaction fees on any foreign currency purchases, including online shopping and when travelling abroad. Only the exchange rate applies.8","Earn up to $750* in value in the first 12 months, including up to 40,000 bonus Scene+ points.1 * Earn 6 Scene+ points2 on every $1 CAD you spend in Canada at Sobeys, Safeway, FreshCo, Foodland and more.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/gold-card.html
Scotiabank® Scene+„¢ Visa* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/ScenePlus_Visa_NoName_MC_En.png,$0,20.99%,22.99%,"A flexible way to pay off your eligible Scotiabank Visa* credit card purchases of $100 or more, with low interest rates on your plan and no installment plan fee..§","Earn up to 5,000 bonus Scene+ points within your first 3 months. * Earn 2 Scene+ points on every $1 you spend at Sobeys, Safeway, Foodland & Participating Co-ops, FreshCo and more. * Earn 2 Scene+ points4 on every $1 you spend at Home Hardware.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/scene-card.html
Scotia Momentum® Visa* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/Momentum_Visa_En.png,$39,19.99%,22.99%,"A flexible way to pay off your eligible Scotiabank Visa* credit card purchases of $100 or more, with low interest rates on your plan and no installment plan fee.§",Get a 2.99% introductory interest rate on balance transfers for the first 6 months (22.99% after that; annual fee $39).,SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-cash-back-card.html
Scotia Momentum® No-Fee Visa* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/Momentum_Visa_En.png,$0,19.99%,22.99%,"A flexible way to pay off your eligible Scotiabank Visa* credit card purchases of $100 or more, with low interest rates on your plan and no installment plan fee.10","Earn 5% cash back on all purchases for the first 3 months (up to $2,000 in total purchases).2 Plus, get a 0% introductory interest rate on balance transfers for the first 6 months (2% fee per cash advance, 22.99% after that; annual fee $0).",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/momentum-no-fee-card.html
Scotiabank American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/AmexRed_RedLogo_MC_En.png,$0,19.99%,22.99%,"Earn up to 5,000 bonus Scene+ points within your first 3 months (that™s up to $50 towards travel).","Earn up to 5,000 bonus Scene+ points within your first 3 months (thats up to $50 towards travel). * Earn 3 Scene+ points1 on every $1 you spend at Sobeys, Safeway, FreshCo, Foodland and more.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/no-fee-amex-card.html
Scotiabank Platinum American Express® Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/AmexPlatinum_PlatLogo_MC_En.png,$399,9.99%,9.99%,"Earn up to $2,500* in value in the first 14 months, including up to 80,0004 bonus Scene+ points.","Earn up to $2,500* in value in the first 14 months, including up to 80,0004 bonus Scene+ points. * Earn 2X the Scene+ points1 for every $1 you spend.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/american-express/platinum-card.html
Scotiabank Passport® Visa Infinite Privilege* Card,https://www.scotiabank.com/content/dam/scotiabank/canada/credit-cards/images/category/en/PassportVisaInfinitePrivilege-Card-EN.png,$599,20.99%,22.99%,Enjoy a $150 reduction of your annual fee with an Ultimate Package account.,"Earn up to 80,000 bonus Scene points in your first 14 months. Thats up to $800 in value.* Earn 3 Scene+ points for every $1 you spend on eligible travel purchases. * Earn 2 Scene+ points for every $1 you spend on eligible dining and entertainment.",SCOTIA ,https://www.scotiabank.com/ca/en/personal/credit-cards/visa/passport-infinite-privilege-card.html
